Year,Carbon Dioxide Emissions
1750,55835622.00
1751,56443374.00
1752,57031008.00
1753,57662940.00
1754,58401480.00
1755,58760808.00
1756,59459484.00
1757,60563616.00
1758,61298148.00
1759,62033124.00
1760,63085986.00
1761,64487310.00
1762,65713188.00
1763,67149552.00
1764,68381892.00
1765,69860916.00
1766,71256480.00
1767,72915054.00
1768,74801616.00
1769,76680444.00
1770,78583296.00
1771,80216928.00
1772,81741042.00
1773,82848828.00
1774,84074490.00
1775,86033520.00
1776,87924744.00
1777,89757222.00
1778,91460898.00
1779,93211410.00
1780,95272356.00
1781,97406298.00
1782,99485724.00
1783,102376512.00
1784,104826552.00
1785,107787104.00
1786,110681312.00
1787,113151116.00
1788,115713704.00
1789,119176880.00
1790,122384900.00
1791,125586836.00
1792,131571620.00
1793,133779906.00
1794,135114272.00
1795,133887812.00
1796,132724590.00
1797,132536804.00
1798,138631914.00
1799,164907582.00
1800,196280815.96
1801,191377692.00
1802,241280254.00
1803,176633804.00
1804,189944553.94
1805,186825268.00
1806,195555900.00
1807,216444214.00
1808,212197394.03
1809,217190610.00
1810,236112290.00
1811,240158010.10
1812,243911774.00
1813,246186936.00
1814,252228138.03
1815,260312626.06
1816,271644874.00
1817,294211498.00
1818,306783748.00
1819,304046025.98
1820,302799624.00
1821,310690016.00
1822,322389342.00
1823,336330787.80
1824,343458856.00
1825,362104112.00
1826,365645654.00
1827,391521396.00
1828,396891822.00
1829,394238000.00
1830,529735294.00
1831,494965914.00
1832,486475894.97
1833,492408104.00
1834,525784552.00
1835,575722514.00
1836,631863074.00
1837,626531292.00
1838,624952370.00
1839,646811576.00
1840,701005438.00
1841,720451694.00
1842,762368242.00
1843,778603276.00
1844,832964086.00
1845,907741214.50
1846,920367656.00
1847,994144220.00
1848,1007726453.50
1849,1072949526.00
1850,1534133928.62
1851,1539796272.71
1852,1605434984.39
1853,1676232202.90
1854,1973455366.48
1855,2003892497.06
1856,2137521200.25
1857,2156467484.38
1858,2188714007.28
1859,2318592540.68
1860,2549870554.20
1861,2688243356.00
1862,2737676720.10
1863,2912352091.45
1864,3140573192.54
1865,3340866969.56
1866,3448317288.40
1867,3674844372.00
1868,3763174540.37
1869,3983880208.87
1870,4064760211.18
1871,4323527246.52
1872,4759706679.20
1873,5046436541.69
1874,4717759094.12
1875,5136551997.26
1876,5219619476.20
1877,5299227197.80
1878,5344987634.31
1879,5681279445.48
1880,6414508198.00
1881,6626904710.80
1882,6971847149.94
1883,7406640116.00
1884,7467142153.00
1885,7517452480.01
1886,7611604653.01
1887,7976660945.51
1888,8762733743.00
1889,8837900152.20
1890,9550373043.50
1891,9983399669.00
1892,10020499035.01
1893,9872857743.56
1894,10305778254.50
1895,10863118926.00
1896,11246147281.00
1897,11784413061.00
1898,12385107842.94
1899,13469769298.70
1900,14178435569.93
1901,14553225268.12
1902,14863207790.09
1903,16084679736.03
1904,16295480049.00
1905,17258427543.57
1906,17993256996.98
1907,20420335321.00
1908,19802634353.30
1909,20490575991.84
1910,21399911239.00
1911,21762396300.93
1912,22831127359.98
1913,24745316991.03
1914,22393292050.20
1915,21948673482.88
1916,23617782462.13
1917,24516218530.86
1918,23961501917.44
1919,20762065668.30
1920,24137758150.59
1921,21314203148.06
1922,22497871951.48
1923,25009818564.06
1924,25477170097.80
1925,25679560302.10
1926,24850372299.80
1927,27592949651.00
1928,27509662721.60
1929,29561214919.21
1930,27361094440.97
1931,24588576426.71
1932,22281040839.04
1933,23399910593.97
1934,25483959431.20
1935,26754321356.94
1936,29231675025.85
1937,31317891652.20
1938,29739050469.55
1939,31322371357.80
1940,34099703896.82
1941,34579208035.00
1942,34180660677.63
1943,34712578685.00
1944,34952908502.10
1945,28399421944.70
1946,31599396447.50
1947,35167729016.00
1948,37163631495.90
1949,36025827444.29
1950,40292497141.17
1951,43446360890.83
1952,44133579456.20
1953,45395839221.68
1954,46613042629.88
1955,51024613354.61
1956,54356419368.09
1957,56167927107.65
1958,57726625410.20
1959,60534275790.12
1960,64213590777.16
1961,64650167878.20
1962,67124191719.30
1963,70809190523.02
1964,74628806844.05
1965,77892570145.10
1966,81547024836.80
1967,84078071369.20
1968,88658220662.62
1969,94499760530.50
1970,102053732573.52
1971,106208915474.59
1972,110993892040.71
1973,116828081553.05
1974,116620361210.00
1975,117119690676.48
1976,123723801671.42
1977,126982439162.97
1978,130895741205.74
1979,134658435233.92
1980,134028404536.00
1981,130774153303.98
1982,129917150662.91
1983,130738055438.76
1984,134909063836.70
1985,139622053255.98
1986,141422507198.10
1987,144860547316.47
1988,150134677941.85
1989,151956289544.82
1990,154811923245.03
1991,157735428825.72
1992,152130356148.00
1993,153050725404.41
1994,153807587744.89
1995,156583346533.15
1996,160990202578.20
1997,161436819124.73
1998,160737445844.99
1999,163714991719.14
2000,167972614455.00
2001,169372634087.23
2002,172799901374.53
2003,181647398317.04
2004,187467368022.06
2005,193289331775.90
2006,199521246997.88
2007,204710392778.93
2008,207879923502.56
2009,203698612226.65
2010,215151805650.84
2011,221924555972.42
2012,225160405611.13
2013,226555343530.40
2014,227582200263.43
2015,227612882755.50
2016,227618085821.96
2017,231066767247.84
2018,235455955493.38
2019,236804779148.57
2020,224973707707.61
2021,236484702974.22
2022,237679814299.60
